Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2RD8FYAPGdpNsQdLF9RBWD,"아침이슬","고운노래 모음","Yang Hee Eun",1971-09-01,194324,21,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.482,0.213,8,-10.272,1,0.0276,0.925,0,0.0996,0.104,94.888,4
spotify:track:4qg4R296ne1vu0Mlsdtg99,"봄날은 간다","Shadow Of Your smile","김윤아",2001-11-20,273773,40,false,,1970-01-01T00:00:00Z,"K-발라드","Cornerstone",0.632,0.31,11,-12.053,0,0.0261,0.607,0.00381,0.0969,0.143,99.992,4
spotify:track:4fQFJ665o0c4trTqDSiThT,"너의 의미","산울림 제10집 - 너의 의미","산울림",1984-07-20,221573,42,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.65,0.313,7,-10.878,1,0.0271,0.348,0.0444,0.135,0.461,79.233,4
spotify:track:7o3jGm6eSGTyoixBIK68Ph,"행복을 주는 사람","그날 이후","해바라기",1985-01-15,198013,31,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.366,0.647,7,-6.228,1,0.0317,0.79,0.0137,0.294,0.535,82.694,4
spotify:track:0IWH5Yixjj9uatlad0WXXN,"I Want To Know","Lee Sunhee 2.","이선희",1986-11-01,211951,29,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.527,0.194,5,-15.361,0,0.0329,0.769,0.000175,0.103,0.23,79.651,4
spotify:track:0G2eLTF0LniqxPjdxO9ACB,"가을 아침","양희은 1991","Yang Hee Eun",1991-10-01,219000,20,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.516,0.041,9,-22.894,1,0.0471,0.978,0.000242,0.163,0.627,83.334,4
spotify:track:7fETFt5bKDjgMN0ttQAf3L,"비처럼 음악처럼","김현식 III","김현식",1986-12-05,277506,43,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.44,0.312,5,-13.303,1,0.0282,0.0646,0,0.109,0.126,126.827,4
spotify:track:0HPE03S4AyTlvq3jFbDsk6,"촛불","시인의 마을","Jeong Tae chun",1978-11-05,239386,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.454,0.367,11,-9.293,1,0.0267,0.723,0.000014,0.11,0.141,142.969,4
spotify:track:2R49jFMrgIKV2ASFjJvnm3,"회상","산울림 제8집 - 새야 날아","산울림",1982-05-25,199133,39,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.648,0.438,2,-9.187,1,0.0299,0.671,0.000116,0.316,0.523,139.209,4
spotify:track:5TSVsb0rX427EaNYlUD4Jo,"going home","315360","김윤아",2010-04-26,221346,39,false,,1970-01-01T00:00:00Z,"K-발라드","LV co.",0.466,0.154,10,-10.282,1,0.036,0.962,0.000117,0.234,0.251,77.934,4
spotify:track:0xrjZQey9FVG5KWeDfBoPN,"아름다운 것들","양희은 골든 15","Yang Hee Eun",1987-06-01,222733,15,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.495,0.119,0,-20.111,1,0.0319,0.593,0,0.229,0.321,110.424,3
spotify:track:7LjG6CGvK9l5Knnj1Ew4BV,"어서 말을해","그날 이후","해바라기",1985-01-15,189306,24,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.422,0.412,11,-9.13,0,0.0283,0.769,0.845,0.091,0.491,147.619,4
spotify:track:33B7RFi29Lg86MfSosN9NW,"Ah! It Is Ancient Times","Lee Sunhee 1.","이선희",1985-10-01,196905,29,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.707,0.405,8,-9.045,1,0.026,0.298,0.000232,0.0513,0.42,106.67,4
spotify:track:3BLv6BZs5Gf6PLOduIxKfQ,"휘파람을 부세요","37년","정미조",2016-02-24,226022,28,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.539,0.319,2,-9.835,0,0.0255,0.928,0.000595,0.131,0.153,76.023,4
spotify:track:1ScQMxACOIFd1V4FdduwlP,"나뭇잎 사이로","나뭇잎 사이로","조동진",1980-09-01,241763,23,false,,1970-01-01T00:00:00Z,"K-발라드,엔카","신나라뮤직",0.595,0.292,2,-15.537,1,0.0255,0.568,0.000633,0.0818,0.247,102.768,4
spotify:track:3FVfwdAvLLGleWMxaa5CWb,"사랑 그 쓸쓸함에 대하여","양희은 1991","Yang Hee Eun",1991-10-01,276106,26,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.216,0.0386,11,-21.019,0,0.043,0.983,0.000111,0.0728,0.0962,81.928,4
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:5nSBcnvB8fbgu0xJLPYdkl,"내마음의 보석상자","사랑은 언제나 그자리에","해바라기",1986-04-15,245880,33,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.406,0.449,11,-8.361,0,0.0276,0.879,0.257,0.101,0.399,85.615,4
spotify:track:2VLTuaKBqWRjlxgF7o6c6N,"To J","Lee Sunhee 1.","이선희",1985-10-01,223283,35,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.424,0.28,0,-10.069,1,0.0292,0.71,0.0000134,0.0984,0.398,167.128,4
spotify:track:54HPOiQvSSod06qXQVA0mF,"개여울","37년","정미조;Son Seong Je",2016-02-24,240266,30,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.282,0.141,1,-13.691,0,0.0364,0.979,0.00108,0.0907,0.0935,162.493,4
spotify:track:4Yk0Wc6mdGZRuPcHkFP4n2,"이루어질 수 없는 사랑","양희은이 처음부른 노래들","Yang Hee Eun",1987-10-05,242782,21,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.357,0.26,9,-12.103,0,0.0303,0.776,0.00000115,0.133,0.144,115.344,3
spotify:track:0FIgjsljigrtOrQL6MRriN,"누구라도 그러하듯이","누구라도 그러하듯이","배인숙",1979-05-10,211546,27,false,,1970-01-01T00:00:00Z,"","RIAK",0.397,0.391,8,-10.463,0,0.0275,0.433,0,0.113,0.279,105.912,4
spotify:track:3cYwojQBARfO4er7J65RJ6,"그녀의 웃음소리뿐","이문세 4집","이문세",1987-03-10,398773,43,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.493,0.482,2,-10.573,0,0.0312,0.0568,0.00000794,0.353,0.383,132.811,4
spotify:track:3HaI4ogu2cT7zUOGEjkwVF,"내 사랑 내곁에","김현식 Vol.6","김현식",1991-01-26,267333,43,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.489,0.252,7,-17.965,1,0.031,0.191,0.0000258,0.206,0.382,124.312,4
spotify:track:39mx4bDRvPRqjryLpPQsNH,"우리는","골든 제 3집","송창식",2025-05-11,257802,21,false,,1970-01-01T00:00:00Z,"K-발라드","KINIMUSIC",0.457,0.44,8,-7.713,1,0.0254,0.613,0.000137,0.344,0.312,85.456,4
