Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:01d3IKaDzqxP50zPZnAkT9,"NO PAIN","NO PAIN","실리카겔",2022-08-25,219414,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:55:03Z,"한국 록","MAGIC STRAWBERRY SOUND",0.509,0.513,8,-4.749,1,0.0327,0.0889,0,0.518,0.368,94.042,4
spotify:track:3JpZzVHJ641hGw1EgzToGc,"Mercurial","Mercurial","실리카겔",2023-03-15,210933,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:55:43Z,"한국 록","MAGIC STRAWBERRY SOUND",0.36,0.708,2,-5.597,1,0.0552,0.000194,0.000168,0.432,0.449,160.942,4
spotify:track:0haCeyoW7lP7PNRu3RnSZZ,"Desert Eagle","Desert Eagle","실리카겔",2021-08-15,309664,48,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:56:05Z,"한국 록","MAGIC STRAWBERRY SOUND",0.231,0.513,9,-5.848,0,0.0356,0.00412,0.0166,0.265,0.322,159.05,4
spotify:track:2BYL7Z9y5DB03fnjMgHcGh,"파도","파도","새소년",2017-09-26,282453,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:56:37Z,"한국 록,일본 인디","Magicstrawberry Sound",0.519,0.839,9,-2.531,0,0.184,0.0177,0.315,0.0718,0.543,89.825,4
spotify:track:5bZh97EswRz053YzhNQI9P,"새소년","여름깃","새소년",2017-10-26,289500,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:57:00Z,"한국 록,일본 인디","Magicstrawberry Sound",0.67,0.501,11,-4.779,1,0.0273,0.226,0.000637,0.0866,0.625,105.977,4
spotify:track:320twJYO0LC64eWCuCC5vj,"NAN CHUN 난춘","NAN CHUN 난춘","새소년",2020-05-10,229493,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:57:10Z,"한국 록,일본 인디","Magic Strawberry Sound",0.49,0.534,1,-3.43,1,0.0302,0.0455,0.0000189,0.433,0.439,141.173,3
spotify:track:1ygmHMAn6HYtCrQ4fHqD0x,"개화 (Flowering)","DEAR.","LUCY",2020-05-08,251293,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:57:26Z,"한국 록","MYSTIC STORY",0.657,0.698,4,-3.311,1,0.0351,0.446,0.00000227,0.116,0.576,129.938,4
spotify:track:3jfkavi0DplCgF687ce9Md,"히어로","INSIDE","LUCY",2021-02-16,196960,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:57:36Z,"한국 록","MYSTIC STORY",0.362,0.778,1,-3.792,1,0.0611,0.626,0.0000136,0.178,0.564,173.549,4
spotify:track:2U4fODlayH2blucJuyjBrU,"조깅","PANORAMA","LUCY",2020-08-13,203720,0,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:57:43Z,"한국 록","MYSTIC STORY",0.698,0.872,5,-2.887,1,0.0405,0.386,0.00000322,0.0853,0.937,138.016,4
spotify:track:48JjpKbGmbCLFw8eYN64x6,"Highlight","그레이트 서울 인베이전 Section 2","TOUCHED",2022-08-18,219320,41,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:58:07Z,"한국 록","MPMG MUSIC",0.466,0.715,11,-3.948,0,0.0576,0.00274,0.00735,0.324,0.253,100.025,4
spotify:track:5ikI8psesN1ZFPR3w5W1Jy,"야경","Yellow Supernova Remnant","TOUCHED",2023-09-26,232000,46,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:58:51Z,"한국 록","Faction A Like",0.591,0.922,0,-1.717,1,0.0577,0.0199,0.00000176,0.0782,0.514,105.098,4
spotify:track:0RyEZVE1OoxyJrQwFFRD11,"Alive","그레이트 서울 인베이전 Final","TOUCHED",2022-10-06,212306,27,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:58:35Z,"한국 록","MPMG MUSIC",0.585,0.814,2,-3.892,1,0.0464,0.0042,0.000451,0.363,0.424,105.977,4
spotify:track:2p9MtHQqjUE3GTIEY3DwXP,"Like Feathers","Aren't You?","SURL",2018-12-06,176493,19,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:59:24Z,"한국 록,일본 인디","SURL",0.259,0.892,1,-2.184,1,0.0532,0.0761,0.655,0.187,0.494,174.96,4
spotify:track:5YNzqONOicls79zGbGsVdi,"9지하철","Aren't You?","SURL",2018-12-06,205210,19,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:59:34Z,"한국 록,일본 인디","SURL",0.635,0.882,9,-2.834,1,0.0535,0.048,0.00285,0.372,0.657,125.981,4
spotify:track:4rsTWHKJKTUYJrmZ3nwyfi,"Candy","Aren't You?","SURL",2018-12-06,200466,22,false,voq6ha7yxu9zrq8hs8iz9hk92,2024-04-14T06:59:46Z,"한국 록,일본 인디","SURL",0.709,0.575,7,-3.831,0,0.0417,0.683,0.0000818,0.0627,0.767,121.003,4
