Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5aTfyXloKRVDkxe0bYKSGr,"농담","낮잠","zzzaam",2023-01-15,215800,12,false,,1970-01-01T00:00:00Z,"슈게이징,드림 팝,한국 록,슬로우코어","zzzaam",0.682,0.498,9,-13.622,1,0.0344,0.791,0.889,0.116,0.615,118.543,4
spotify:track:43tsrOxxkFrv9bfY0f3sVm,"Hide","pension rm. 04 - Hide","Shin Yun Su",2025-09-07,207400,33,false,,1970-01-01T00:00:00Z,"슈게이징,중국 록,한국 록","THE VAULT, yooousuu",0.486,0.65,0,-8.092,1,0.0258,0.000164,0.797,0.212,0.503,79.996,4
spotify:track:3Xb7YUrClEKSXCZ2WkSv4p,"Wallow","Whenere","Forsaken Autumn",2015,208641,42,false,,1970-01-01T00:00:00Z,"슈게이징,중국 인디,드림 팝,일본 인디","Forsaken Autumn",0.241,0.421,3,-6.953,1,0.0379,0.802,0.762,0.113,0.0423,166.029,4
spotify:track:6rslvjIqjlDxi0kCipZYvc,"云朵","Itinerary","Jo's Moving Day",2021-10-13,184125,37,false,,1970-01-01T00:00:00Z,"슈게이징,중국 인디,드림 팝,중국 록","SJ-records",0.49,0.644,9,-7.219,1,0.0285,0.377,0.759,0.109,0.276,108.051,4
spotify:track:1qqTuxNccTQnQdkCEog6Ij,"Flipper","Glitter","Pasteboard",2006,240520,38,false,,1970-01-01T00:00:00Z,"슈게이징,일본 인디,드림 팝,슬로우코어,시부야계","abcdefg*record",0.775,0.351,2,-15.096,1,0.0397,0.16,0.965,0.0916,0.524,110.001,4
spotify:track:5fJ6rwe3cX1p5H9NMFTvqx,"Blue Hour","时间之间","Endless White",2025-10-18,235505,21,false,,1970-01-01T00:00:00Z,"중국 인디,중국 록,대만 인디,슈게이징,드림 팝","SJ Records",0.284,0.623,2,-6.848,1,0.0329,0.179,0.777,0.105,0.276,160.004,3
spotify:track:6NEvcNEg2GFoxFEU5N9Jms,"Dearest","Fogesque","FOG",2020-11-16,210500,17,false,,1970-01-01T00:00:00Z,"슈게이징,드림 팝,슬로우코어","1800046 Records DK2",0.581,0.546,2,-7.86,1,0.0308,0.18,0.771,0.2,0.427,120.018,4
spotify:track:36WOdy91Cs6wCUTlic2mdN,"흑백사진","Day Is Far Too Long","전자양",2001-08-31,233015,32,false,,1970-01-01T00:00:00Z,"시부야계,쟁글 팝,한국 록,슈게이징,슬로우코어","문라이즈",0.713,0.708,3,-8.342,1,0.0352,0.821,0.808,0.157,0.975,123.993,4
spotify:track:4vGEFjskdduSzMdz6Xihc5,"walkerrrr…","How to Sink Slowly","BrokenTeeth",2023-02-23,176798,16,false,,1970-01-01T00:00:00Z,"슈게이징,드림 팝,슬로우코어","BrokenTeeth",0.428,0.647,1,-5.171,1,0.0302,0.0000891,0.841,0.0845,0.185,105.064,4
spotify:track:0jGILMAynLnmoCPz7oL12E,"봄에게 미처 배우지 못한 것 Pt. Ⅰ","4℃ 유리 호수 아래 잠든 꽃","미스티 블루",2006-01-05,137053,17,false,,1970-01-01T00:00:00Z,"시부야계","Pastel Music",0.465,0.326,0,-9.731,1,0.0278,0.722,0.701,0.333,0.135,139.949,4
