Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5B6ewNeXBcIDHqzsgAn6Dk,"귀로","Back To The Soul Flight","나얼",2005-01-08,266506,50,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M MUSIC",0.521,0.558,7,-6.309,0,0.0315,0.467,0.0000141,0.157,0.0584,107.94,3
spotify:track:373fb3tsAbcShtD2RZ8edv,"벌써 일년","Brown Eyes","브라운 아이즈",2001-06-01,207826,60,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M MUSIC",0.72,0.73,8,-4.205,1,0.0237,0.19,0.00000344,0.192,0.55,104.017,4
spotify:track:7oSd9Hs3JaPHCAO5ZP4hhr,"처음 느낌 그대로","이소라 Vol.1","이소라",1995-09-01,264506,41,false,,1970-01-01T00:00:00Z,"K-발라드,케이팝","Beyond Music",0.488,0.308,6,-11.831,0,0.028,0.63,0.000219,0.0646,0.0439,130.158,4
spotify:track:4t1DWpmfKVCv4ValVniwfc,"사랑합니다...","영민","팀",2003-03-01,228946,57,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.383,0.504,2,-5.611,1,0.0368,0.676,0,0.101,0.187,133.838,4
spotify:track:4uYt1qSWwaXnPttPgDdEfZ,"아름다운 이별","Kim Gun Mo 3","김건모",1995-01-01,250680,41,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.523,0.411,10,-6.22,1,0.0281,0.797,0,0.16,0.18,106.979,4
spotify:track:1Mt5bRtfZXBRt56L1NWRLY,"바람기억","Principle Of My Soul","나얼",2012-09-20,308186,55,false,,1970-01-01T00:00:00Z,"K-발라드","Long Play Music",0.279,0.43,8,-7.412,1,0.0308,0.633,0.00082,0.107,0.147,133.443,4
spotify:track:7sp5iTQjB7GHXX4TKrhOaO,"나였으면","중독","나윤권",2004-09-13,262562,56,false,,1970-01-01T00:00:00Z,"K-발라드","더늠이엔티",0.395,0.371,9,-7.512,1,0.0289,0.643,0,0.138,0.0761,71.048,4
spotify:track:5XVEx1pTUR4T7ABtXoGGxx,"응급실","izi 1집","Izi",2005-04-19,226548,58,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","오감엔터테인먼트",0.579,0.374,3,-6.64,1,0.0272,0.593,0,0.114,0.217,139.917,4
spotify:track:4TlKVrK0TnVlwvVSbUbbM4,"바람이 분다","눈썹달","이소라",2004-12-10,236693,45,false,,1970-01-01T00:00:00Z,"K-발라드,케이팝","Seiren",0.443,0.509,7,-7.659,1,0.0297,0.351,0,0.109,0.125,123.872,4
spotify:track:6c1mf1kaoeE36Dd2wUdX1P,"여수 밤바다","버스커 버스커 1집","버스커 버스커",2012-03-29,279909,50,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation",0.239,0.498,4,-6.182,1,0.042,0.348,0.00000783,0.0958,0.227,199.19,3
spotify:track:3EpqTpSWhkQDv5gTZddp1W,"언젠가는","Back To The Soul Flight","나얼",2005-01-08,239240,36,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M MUSIC",0.555,0.499,7,-6.27,1,0.0492,0.238,0.00000991,0.0651,0.61,73.969,4
spotify:track:7JXQOKFhZ0h8VrYdWbwM8F,"안 되나요.. (부제: 화양연화)","Like A Movie","휘성",2002-04-03,270240,46,false,,1970-01-01T00:00:00Z,"K-발라드","(주)YG엔터테인먼트",0.566,0.443,1,-8.09,1,0.047,0.351,0.00000139,0.103,0.184,137.934,4
spotify:track:1Y85YkVzlmqXXZsj1XE1EF,"기대","기대","나윤권",2005-10-27,278400,51,false,,1970-01-01T00:00:00Z,"K-발라드","더늠이엔티",0.632,0.462,3,-6.812,1,0.0267,0.724,0,0.119,0.151,100.035,4
spotify:track:3YpiZu52TdVbNKExZpZAWW,"기억의 습작","Exhibition","Exhibition",1994-05-01,313106,49,false,,1970-01-01T00:00:00Z,"K-발라드","다날(포이보스)",0.444,0.37,3,-13.858,1,0.0313,0.426,0,0.294,0.121,135.862,4
spotify:track:5mCY172DdlbnXfXWoLINmF,"애송이의 사랑","애송이의 사랑","Yangpa",1997-11-01,220760,45,false,,1970-01-01T00:00:00Z,"K-발라드","신촌뮤직",0.52,0.554,6,-6.624,1,0.0302,0.759,0,0.1,0.302,143.882,4
spotify:track:0zKKCexQgnpt6YbWRXFGKj,"기억의 빈자리","기억의 빈자리","나얼",2017-11-29,278880,48,false,,1970-01-01T00:00:00Z,"K-발라드","Long Play Music",0.331,0.539,4,-5.582,1,0.0327,0.52,0,0.171,0.203,135.295,4
spotify:track:14JAQVw1T22Lews4EE160K,"어떤가요","Because I Love You","박화요비",2002-10-12,274026,40,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.518,0.359,2,-8.201,1,0.0323,0.555,0,0.094,0.138,130.867,4
