Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5kcon7Wxr6c8fOdH5ci7o5,"학교가는 길","이야기 피아노, 무언가(無言歌)","노영심",2025-05-08,190380,10,false,,1970-01-01T00:00:00Z,"","KINIMUSIC",0.653,0.285,7,-12.975,1,0.0581,0.905,0.894,0.075,0.671,123.331,4
spotify:track:2Sz3898R8DZAlcXjKrpsF7,"지금은 우리가 멀리 있을지라도","보내지 못한 편지","Kim Kwang Min",1999-01-01,194680,26,false,,1970-01-01T00:00:00Z,"일본 클래식,뉴에이지","Cornerstone",0.382,0.0608,0,-21.793,1,0.0852,0.993,0.921,0.0743,0.162,76.927,4
spotify:track:3RfEm3yAQ5gqXDH57ObVjp,"Graceful Ghost","A Portrait","William Bolcom",2005-11-01,253000,31,false,,1970-01-01T00:00:00Z,"래그타임,컨템포러리 클래식","Nonesuch",0.435,0.177,6,-19.619,1,0.0378,0.989,0.897,0.125,0.222,119.144,4
spotify:track:3rTGV3juxcT1nboX3EzCT8,"Small Happiness","Love Letter (Original Movie Soundtrack)","REMEDIOS",2001-04-25,237293,20,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.281,0.175,10,-15.023,1,0.0333,0.981,0.899,0.109,0.0709,128.428,4
spotify:track:1tHCpcSrpcUHfESQWQIiYJ,"오솔길","Le Petit Piano","정재형",2010-04-13,257226,26,false,,1970-01-01T00:00:00Z,"","Don't Stop the Music",0.358,0.066,5,-24.107,1,0.0475,0.993,0.926,0.101,0.11,114.404,4
spotify:track:0F3kskc3amM2m1iPyODr3q,"Dear Green Field","Dear Green Field - Yuriko Nakamura Solo Best (Repackage)","Yuriko Nakamura",2010-12-21,242640,23,false,,1970-01-01T00:00:00Z,"","산토끼뮤직",0.399,0.243,0,-15.693,1,0.0521,0.972,0.899,0.105,0.0822,68.758,3
spotify:track:1QGVoiKUXUR1bEpFdPLPWh,"Lake Louise","REMINISCENCE","Yuhki Kuramoto",1998-03-01,146306,20,false,,1970-01-01T00:00:00Z,"뉴에이지","C&L MUSIC",0.365,0.17,2,-18.003,1,0.042,0.975,0.912,0.11,0.143,117.84,4
spotify:track:1HH5WNOUfi1NNEruc6avdd,"L'amour rêvé","Un souvenir du japon","André Gagnon",2014-11-18,172626,32,false,,1970-01-01T00:00:00Z,"","Tacca Musique",0.408,0.0745,0,-17.593,1,0.0292,0.962,0.611,0.224,0.432,73.629,4
spotify:track:4xQMIWaPbIE2f19EaXGbLY,"Nocturnes, Op. 9: No. 2 in E Flat Major. Andante","Chopin: Piano Concerto No. 2; Scherzi","Frédéric Chopin;조성진",2021-08-27,242106,42,false,,1970-01-01T00:00:00Z,"클래식 피아노,클래식,인상주의","Deutsche Grammophon (DG)",0.295,0.0181,3,-30.096,1,0.039,0.987,0.954,0.105,0.039,66.199,3
spotify:track:3deyvdEMlIBGEach4atndS,"A Winter Story","Love Letter (Original Movie Soundtrack)","REMEDIOS",2001-04-25,199440,28,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.144,0.136,7,-18.057,1,0.0399,0.964,0.79,0.247,0.0835,65.596,3
