Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3yWRbqrOG8dfTS8THQYJdd,"가장 고독한 나라","가장 고독한 나라","모임 별",2026-02-28,222000,22,false,,1970-01-01T00:00:00Z,"","Club Bidanbaem",0.0769,0.417,2,-11.86,1,0.0349,0.161,0.858,0.0639,0.039,80.767,3
spotify:track:58nwiA4KUq0raeYbP5Bv9h,"Mask","花緑青が明ける日に [ オリジナル・サウンドトラック ]","Shuta Hasunuma",2026-03-04,114346,31,false,,1970-01-01T00:00:00Z,"시부야계,IDM,일렉트로어쿠스틱,글리치,익스페리멘탈 재즈","Milan Records",0.273,0.278,9,-15.473,0,0.0403,0.824,0.978,0.078,0.0375,89.904,3
spotify:track:3ijXBFb8pmt0gvBwsY4f2N,"For Max","Music From the Other Side of the Fence","Enno Velthuys",2026-03-10,151602,23,false,,1970-01-01T00:00:00Z,"","Stroom",0.384,0.116,2,-16.709,0,0.0391,0.923,0.709,0.0935,0.104,109.594,4
spotify:track:65E2BaUjlGExI829X3OKro,"What It's Like to Be a Bat 3","What It's Like to Be a Bat","Finn Streuper",2026-03-20,121615,8,false,,1970-01-01T00:00:00Z,"앰비언트 재즈,앰비언트","Finn Streuper",0.24,0.131,4,-17.881,1,0.0424,0.935,0.839,0.131,0.0403,90.941,3
spotify:track:68wc6D37PjiP2wBlXuf4N1,"Humans","In Another","Masahiro Takahashi",2026-03-20,123560,10,false,,1970-01-01T00:00:00Z,"앰비언트 재즈,앰비언트","Telephone Explosion Records",0.217,0.204,11,-13.777,0,0.0312,0.918,0.565,0.116,0.204,99.462,4
spotify:track:7k1Nq5XXXpO6qkbri7SxXR,"애프터클럽에서","우리 개","모임 별",2024-10-18,227956,3,false,,1970-01-01T00:00:00Z,"","Club Bidanbaem",0.11,0.646,9,-9.817,1,0.0384,0.64,0.895,0.35,0.0972,93.171,4
spotify:track:53Xmj9MMeyYrHsUar6lfks,"The Things We Let Fall Apart","The Things We Let Fall Apart / The Thunderswan","Ian Temple;Jeremy Young;Jesse Perlstein;Sanae Yamasaki;Sontag Shogun;Moskitoo",2017-11-15,216031,18,false,,1970-01-01T00:00:00Z,"일렉트로어쿠스틱,드론,신고전주의,Musique Concrète,앰비언트,글리치","Youngbloods",0.176,0.165,8,-16.503,1,0.039,0.905,0.912,0.101,0.0329,86.654,4
spotify:track:6rBCRwkrCoTFw8NkY2agQh,"Skyline","花緑青が明ける日に [ オリジナル・サウンドトラック ]","Shuta Hasunuma",2026-03-04,81681,28,false,,1970-01-01T00:00:00Z,"시부야계,IDM,일렉트로어쿠스틱,글리치,익스페리멘탈 재즈","Milan Records",0.619,0.784,5,-9.425,1,0.0401,0.255,0.948,0.0924,0.0901,119.978,4
spotify:track:0dWtmrS9GvNbWe8CpnBVP8,"Landscape #X","Landscape of the ReBorn:ReBirth","synfilums;Itoko Toma",2024-03-22,129000,19,false,,1970-01-01T00:00:00Z,"일본 클래식","88 landscapes",0.345,0.268,0,-19.287,1,0.191,0.96,0.885,0.769,0.0744,71.435,5
spotify:track:6m96PYGoav8HvNg1ahF4iD,"Un Ramo De Cedrón","Destellos*","Lumtz;Eric Olsen;el espacio entre las cosas",2024-06-12,197812,15,false,,1970-01-01T00:00:00Z,"일렉트로어쿠스틱,앰비언트","Bruma",0.252,0.14,7,-22.2,1,0.0415,0.957,0.892,0.0874,0.0375,171.821,4
spotify:track:7yoyAIiwHse3Iomv03NAsS,"허구의 공동체","가장 고독한 나라","모임 별",2026-02-28,129000,17,false,,1970-01-01T00:00:00Z,"","Club Bidanbaem",0.0977,0.41,2,-11.399,1,0.0425,0.92,0.746,0.182,0.123,168.292,4
