Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:48zLBJqvbEdsx3RNjYkuvC,"난 여자가 있는데","놀이","박진영",2001-06-07,241531,40,false,,1970-01-01T00:00:00Z,"케이팝","Danal Entertainment",0.857,0.537,1,-7.104,0,0.0923,0.0328,0.00000203,0.0878,0.471,88.05,4
spotify:track:4ZxOuNHhpyOj4gv52MtQpT,"마지막처럼","마지막처럼","BLACKPINK",2017-06-22,213264,77,false,,1970-01-01T00:00:00Z,"케이팝","YG Entertainment",0.786,0.852,8,-2.687,1,0.0813,0.0687,0,0.0759,0.455,125.036,4
spotify:track:0EhdXt3y460mTRsi97Pyk5,"한 페이지가 될 수 있게 Time of Our Life","The Book of Us : Gravity","DAY6",2019-07-15,205575,56,false,,1970-01-01T00:00:00Z,"한국 록,케이팝","JYP Entertainment",0.51,0.975,8,-2.758,1,0.053,0.00428,0,0.222,0.747,174.973,4
spotify:track:0a4MMyCrzT0En247IhqZbD,"Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,78,false,,1970-01-01T00:00:00Z,"케이팝","ADOR",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
spotify:track:0K25zmumCzn2kFmh9zcLWy,"CANDY","We Hate All Kinds of Violence... - The 1st Album","H.O.T.",1996-09-07,217226,52,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.741,0.977,10,-2.318,1,0.044,0.134,0,0.145,0.951,119.988,4
spotify:track:4vf2BXFpNqFIVwJoxJjQPb,"날 떠나지마","Blue City","박진영",1994-09-01,257026,37,false,,1970-01-01T00:00:00Z,"케이팝","RIAK",0.645,0.856,0,-8.5,1,0.0407,0.00262,0.00205,0.0649,0.704,121.761,4
spotify:track:2YkjXEab4USTV9uuAgC90E,"4 Walls","4 Walls - The 4th Album","f(x)",2015-10-27,207477,63,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.735,0.849,4,-4.308,0,0.129,0.212,0.0000294,0.0608,0.223,125.972,4
spotify:track:7qmvLmX9tyaTiBAVNI6YEn,"불장난","SQUARE TWO","BLACKPINK",2016-11-01,197288,74,false,,1970-01-01T00:00:00Z,"케이팝","YG Entertainment",0.706,0.756,4,-4.405,0,0.0845,0.0392,0,0.18,0.676,97.098,4
spotify:track:7L81PqO3zKKPsfO7jfyvus,"What is Love?","What is Love?","TWICE",2018-04-09,208238,53,false,,1970-01-01T00:00:00Z,"케이팝","JYP Entertainment",0.572,0.91,8,-1.578,1,0.064,0.0846,0,0.266,0.602,169.975,4
spotify:track:0t7kjpVLgOYITrSfFCoBEA,"Gee","Oh! - The Second Album","소녀시대",2010-01-28,201160,70,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.756,0.93,1,-1.082,0,0.0274,0.281,0,0.11,0.737,99.988,4
spotify:track:2PlqctBgVGDkBbYFDW1jg2,"When We Disco (Duet with SUNMI)","When We Disco","박진영;선미",2020-08-12,224387,30,false,,1970-01-01T00:00:00Z,"케이팝","JYP Entertainment",0.678,0.912,8,-3.45,0,0.0293,0.00283,0,0.319,0.692,131.947,4
spotify:track:6Ixrp3yXfzv5brZXmZuXXN,"Boom Boom Bass","RIIZING - The 1st Mini Album","RIIZE",2024-06-17,152889,61,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.811,0.759,5,-4.24,0,0.0535,0.0197,0.00000924,0.145,0.83,117.005,4
spotify:track:5Kbpcd3hOqu4ZRAJNAjIcg,"어땠을까 (Feat. 박정현)","싸이6甲 Part 1","싸이;박정현",2012-07-15,243963,57,false,,1970-01-01T00:00:00Z,"케이팝,K-발라드","YG Entertainment",0.865,0.802,3,-3.853,1,0.0383,0.193,0,0.099,0.804,105.971,4
spotify:track:6NEoeBLQbOMw92qMeLfI40,"휘파람","SQUARE ONE","BLACKPINK",2016-08-08,211631,73,false,,1970-01-01T00:00:00Z,"케이팝","YG Entertainment",0.818,0.723,11,-4.82,1,0.114,0.00561,0,0.0866,0.607,102.945,4
spotify:track:7B9W7Qsy5M2kyUNjQYIEG8,"DM","Midnight Guest","프로미스나인",2022-01-17,204293,62,false,,1970-01-01T00:00:00Z,"케이팝,버블검 팝","PLEDIS Entertainment",0.649,0.898,11,-3.291,0,0.11,0.0213,0,0.0576,0.663,122.028,4
spotify:track:0aZG8KWrpRnsGL0loUkfSj,"plot twist","TWS 1st Mini Album 'Sparkling Blue'","투어스",2024-01-22,152400,70,false,,1970-01-01T00:00:00Z,"케이팝","PLEDIS Entertainment",0.808,0.71,5,-4.798,1,0.0752,0.0102,0,0.144,0.73,112.066,4
