Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:30tYWTkLIQtZWnRIOqcHnJ,"나무","나무","카더가든",2019-04-16,232558,57,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T11:59:32Z,"K-발라드","Kakao Entertainment",0.329,0.409,11,-5.983,1,0.0328,0.464,0,0.173,0.278,141.439,4
spotify:track:3xdJ42suORqOpgwwZTtw76,"EVERYTHING","TEAM BABY","검정치마",2017-05-30,293000,0,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T11:59:42Z,"한국 록","도기리치, 비스포크",0.54,0.373,6,-8.591,1,0.0278,0.651,0.927,0.146,0.387,119.843,4
spotify:track:5BqwC9kOBbqYkzdOKeXFFk,"주저하는 연인들을 위해","전설","잔나비",2019-03-13,265000,61,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T11:59:49Z,"K-발라드,한국 록","PEPONI MUSIC",0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4
spotify:track:797XRv2RhIp9qHeKG42HzD,"밤새 (취향저격 그녀 X 카더가든)","밤새 (취향저격 그녀 X 카더가든)","카더가든",2020-09-03,199746,48,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T12:00:12Z,"K-발라드","TOON STUDIO, NEUL",0.644,0.529,3,-4.986,1,0.0236,0.39,0,0.086,0.208,95.037,4
spotify:track:320twJYO0LC64eWCuCC5vj,"NAN CHUN 난춘","NAN CHUN 난춘","새소년",2020-05-10,229493,0,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T12:00:20Z,"한국 록,일본 인디","Magic Strawberry Sound",0.49,0.534,1,-3.43,1,0.0302,0.0455,0.0000189,0.433,0.439,141.173,3
spotify:track:423WHvB4mKprM6hELzpH3F,"Good Night Good Dream","Good Night Good Dream","너드커넥션",2020-03-23,265983,0,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T12:00:34Z,"K-발라드,한국 록","ES Records",0.478,0.434,2,-4.547,1,0.0298,0.0538,0.00000618,0.0748,0.133,129.762,4
spotify:track:2yPFwTJ1tUSLH0D28u3153,"사라진 모든 것들에게(with ELLE KOREA)","RECONNECT","코드 쿤스트;CHOI JUNG HOON of JANNABI;사이먼 도미닉",2020-11-16,243087,44,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T12:00:43Z,"한국 랩,K-발라드","AOMG",0.736,0.7,7,-4.774,1,0.0448,0.146,0,0.317,0.415,132.034,4
spotify:track:7wLJ4xzxNss5abZ1kXs242,"가까운 듯 먼 그대여","가까운 듯 먼 그대여","카더가든",2021-08-26,194546,61,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T12:01:02Z,"K-발라드","니즈뮤직",0.602,0.389,4,-7.099,1,0.0242,0.373,0,0.132,0.169,93.037,4
spotify:track:2bU2EvhMM4Z1M1CLJlnZH1,"yours","yours","데이먼스 이어 Damons year",2019-04-10,165229,0,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T12:02:18Z,"K-발라드","Akashic Records",0.482,0.47,11,-6.365,1,0.0314,0.665,0,0.191,0.32,109.286,4
spotify:track:5Xf2cIARIa9gwWf6m4DvME,"Home Sweet Home","APARTMENT","카더가든",2017-12-12,205938,56,false,8q0olrbwxucarobk5sxm98xz1,2023-03-09T12:02:43Z,"K-발라드","DOOROODOOROO ARTIST COMPANY",0.525,0.486,7,-5.284,1,0.0263,0.594,0,0.107,0.239,80.04,4
