Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7wLJ4xzxNss5abZ1kXs242,"가까운 듯 먼 그대여","가까운 듯 먼 그대여","카더가든",2021-08-26,194546,61,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:48:31Z,"K-발라드","니즈뮤직",0.602,0.389,4,-7.099,1,0.0242,0.373,0,0.132,0.169,93.037,4
spotify:track:5BqwC9kOBbqYkzdOKeXFFk,"주저하는 연인들을 위해","전설","잔나비",2019-03-13,265000,61,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:51:41Z,"K-발라드,한국 록","PEPONI MUSIC",0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4
spotify:track:3xdJ42suORqOpgwwZTtw76,"EVERYTHING","TEAM BABY","검정치마",2017-05-30,293000,0,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:51:48Z,"한국 록","도기리치, 비스포크",0.54,0.373,6,-8.591,1,0.0278,0.651,0.927,0.146,0.387,119.843,4
spotify:track:6H67gFuycHyTOROX2M4bbs,"bad","0.1 flaws and all.","wave to earth",2023-04-20,263250,75,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:53:31Z,"","WAVY",0.562,0.551,2,-8.879,1,0.0318,0.705,0.113,0.164,0.386,135.808,4
spotify:track:3WvM2dIR9iIxMGNMP7WsNw,"사랑하게 될 거야","이상비행","HANRORO",2023-08-29,165000,68,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-11-03T06:09:04Z,"K-발라드,한국 록","authentic",0.625,0.516,7,-6.018,1,0.0265,0.426,0.0000015,0.187,0.326,92.94,4
spotify:track:0omAMc8DVHbLkc2iEDb1VO,"Shine Your Star (Prod. by ZICO)","미스터 션샤인, Pt. 9 (Original Television Soundtrack)","오존",2018-08-19,215621,40,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-11-24T16:09:08Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.578,0.484,9,-5.081,0,0.0285,0.331,0,0.108,0.196,78.908,4
spotify:track:0Nld5ohgWfoPueMEtYNbgE,"와리가리","22","혁오",2015-05-28,228320,54,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:55:14Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.748,0.721,6,-6.345,0,0.0408,0.103,0,0.108,0.625,119.892,4
spotify:track:1DrQC26tbaPAMdHTZrl83J,"영원은 그렇듯","영원은 그렇듯","Redoor",2021-01-09,237158,0,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-12-07T09:12:15Z,"K-발라드,한국 록","Redoor",0.495,0.42,4,-7.519,1,0.0256,0.687,0.177,0.106,0.334,76.99,4
spotify:track:30tYWTkLIQtZWnRIOqcHnJ,"나무","나무","카더가든",2019-04-16,232558,57,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:51:58Z,"K-발라드","Kakao Entertainment",0.329,0.409,11,-5.983,1,0.0328,0.464,0,0.173,0.278,141.439,4
spotify:track:5BGxDtIEw8zxoP29Fid69a,"Ling Ling","TEEN TROUBLES","검정치마",2022-09-15,229999,56,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:47Z,"한국 록","DOGGYRICH FOREVER, BESPOK",0.53,0.659,7,-4.903,1,0.0253,0.0311,0,0.101,0.542,79.999,4
spotify:track:6XdXTQV3qwim4Bji87TT8t,"Bye bye my blue","Bye bye my blue","백예린",2016-06-20,203409,53,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T15:08:44Z,"K-발라드","JYP Entertainment",0.511,0.54,3,-6.726,1,0.114,0.613,0.00000316,0.121,0.297,87.704,4
spotify:track:4eFTh1opLS5wANDmZK9ghC,"벚꽃 엔딩","버스커 버스커 1집","버스커 버스커",2012-03-29,260517,56,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:58:42Z,"K-발라드","Genie Music Corporation",0.621,0.669,9,-5.303,1,0.0312,0.739,0,0.138,0.663,119.947,4
spotify:track:423WHvB4mKprM6hELzpH3F,"Good Night Good Dream","Good Night Good Dream","너드커넥션",2020-03-23,265983,0,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:03Z,"K-발라드,한국 록","ES Records",0.478,0.434,2,-4.547,1,0.0298,0.0538,0.00000618,0.0748,0.133,129.762,4
spotify:track:6TBJkXHPhu3EsMk1bshwuI,"ONLY","4 ONLY","이하이",2021-09-09,240906,77,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-12-02T20:46:09Z,"K-발라드,케이팝","Genie Music Corporation, Stone Music Entertainment",0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,3
spotify:track:48mBeNB9eRSxbPn9bDIcyn,"김철수 씨 이야기","김철수 씨 이야기","허회경",2021-10-14,248433,52,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:09Z,"K-발라드","2021 MUN HWA IN under license to Glitters",0.637,0.356,10,-8.598,1,0.0287,0.657,0.00000158,0.176,0.368,134.141,4
spotify:track:55pCe0UgAeaeWKKSQqdiWh,"그대 작은 나의 세상이 되어","부재","카더가든",2021-01-28,205826,65,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-12-29T20:01:43Z,"K-발라드","DOOROODOOROO ARTIST COMPANY",0.697,0.373,7,-8.42,1,0.0704,0.871,0,0.112,0.255,75.026,4
spotify:track:58uXTOsAxceman70g0WeUO,"너는 나의 문학","고강동","박소은",2020-03-26,199771,40,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-12-23T17:27:57Z,"한국 록","withHC, pondsound",0.701,0.47,11,-9.967,1,0.129,0.262,0,0.0728,0.343,84.925,4
spotify:track:2yPFwTJ1tUSLH0D28u3153,"사라진 모든 것들에게(with ELLE KOREA)","RECONNECT","코드 쿤스트;CHOI JUNG HOON of JANNABI;사이먼 도미닉",2020-11-16,243087,44,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:14Z,"한국 랩,K-발라드","AOMG",0.736,0.7,7,-4.774,1,0.0448,0.146,0,0.317,0.415,132.034,4
spotify:track:0M7kK6U1SfNyVmeHdLTRT0,"오늘","When I Begin","오왠",2016-05-24,232851,45,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:26Z,"K-발라드,사운드트랙","GROI Entertainment",0.546,0.421,4,-8.056,1,0.0258,0.257,0.00000837,0.131,0.281,133.919,4
spotify:track:6DA7kCWYMggJjqPM84V2Ng,"TOMBOY","23","혁오",2017-04-24,241692,59,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:31Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.301,0.431,3,-5.314,1,0.0299,0.0961,0.0000105,0.114,0.221,148.2,4
spotify:track:4gAIUEY7VkeiKQOPwIYaYb,"은방울","꽃","DANIEL",2020-02-14,297591,65,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:34Z,"","DANIEL",0.567,0.391,1,-9.106,1,0.0268,0.74,0.277,0.0645,0.269,123.909,4
spotify:track:5Xf2cIARIa9gwWf6m4DvME,"Home Sweet Home","APARTMENT","카더가든",2017-12-12,205938,56,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-11-03T05:57:48Z,"K-발라드","DOOROODOOROO ARTIST COMPANY",0.525,0.486,7,-5.284,1,0.0263,0.594,0,0.107,0.239,80.04,4
spotify:track:6c1mf1kaoeE36Dd2wUdX1P,"여수 밤바다","버스커 버스커 1집","버스커 버스커",2012-03-29,279909,50,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:58:50Z,"K-발라드","Genie Music Corporation",0.239,0.498,4,-6.182,1,0.042,0.348,0.00000783,0.0958,0.227,199.19,3
spotify:track:3sOAwRg5esaxDcWnUigWPv,"0+0","자몽살구클럽","HANRORO",2025-08-04,192000,68,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-11-04T12:47:34Z,"K-발라드,한국 록","authentic",0.457,0.523,9,-5.862,1,0.0286,0.492,0.0157,0.163,0.196,135.899,4
spotify:track:5VBjyOQzqlPNgdRPMM6prF,"seasons","summer flows 0.02","wave to earth",2020-08-04,255998,34,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:53:35Z,"","ADA Korea",0.372,0.273,7,-10.629,1,0.0268,0.782,0.0463,0.219,0.165,60.038,4
spotify:track:1MJyiTlVdSLAjI9aclZ3hL,"책방오빠 문학소녀","EVE: ROMANCE","비비",2025-05-14,193040,74,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-12-23T17:29:35Z,"케이팝,한국 랩","FeelGhoodMusic",0.695,0.527,2,-8.953,0,0.0558,0.151,0.00000401,0.0842,0.645,156.039,4
spotify:track:3SLlqKXr91haZQhhNYNuVk,"나랑 아니면","TEAM BABY","검정치마",2017-05-30,271000,55,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:36Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.412,0.473,7,-6.983,1,0.0262,0.763,0.368,0.206,0.237,77.918,4
spotify:track:4xeugB5MqWh0jwvXZPxahq,"Drowning","OO-LI","WOODZ",2023-04-26,244986,71,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:42Z,"한국 록,케이팝","EDAM Entertainment",0.62,0.722,8,-4.281,1,0.0357,0.000562,0.000022,0.0563,0.368,110.984,4
spotify:track:2bU2EvhMM4Z1M1CLJlnZH1,"yours","yours","데이먼스 이어 Damons year",2019-04-10,165229,0,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:52:54Z,"K-발라드","Akashic Records",0.482,0.47,11,-6.365,1,0.0314,0.665,0,0.191,0.32,109.286,4
spotify:track:046Gh1kXtPynYPaKep5M8E,"그렇게 살아가는 것","그렇게 살아가는 것","허회경",2022-01-07,194633,55,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:53:00Z,"K-발라드","MUN HWA IN",0.673,0.19,2,-10.072,1,0.0366,0.963,0.0000244,0.112,0.0907,121.778,4
spotify:track:0fiYcTgkSZ1E3kZdDlSgkO,"WA-R-R","Love Part 1","Colde",2019-05-31,272000,64,false,312e2vbdtnqgllsrxi4a7nhaiyry,2026-01-27T06:14:43Z,"","WAVY",0.735,0.358,1,-9.227,0,0.0641,0.873,0,0.102,0.236,112.901,3
spotify:track:5mtTAScDytxMMqZj14NmlN,"love.","0.1 flaws and all.","wave to earth",2023-04-20,307750,78,false,312e2vbdtnqgllsrxi4a7nhaiyry,2025-10-14T14:53:44Z,"","WAVY",0.319,0.391,2,-9.758,1,0.0298,0.649,0.296,0.279,0.251,61.922,4
spotify:track:4BoiMlWxU6L9nKm2QPjpn4,"유학 (Feat. 한올)","starry night '17","크루셜스타;한올",2017-09-22,232544,40,false,312e2vbdtnqgllsrxi4a7nhaiyry,2026-01-31T01:40:56Z,"한국 랩,K-발라드","RATEL",0.765,0.497,3,-6.935,1,0.0306,0.809,0,0.0773,0.241,114.956,4
