Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:42Ijsti74KxdN45QkPhj9H,"행복","골든 히트 앨범 - 이슬비가 내리던 밤","이수만",2012-08-22,141871,14,false,,1970-01-01T00:00:00Z,"","RIAK",0.323,0.618,4,-6.306,0,0.0324,0.506,0.00000585,0.163,0.566,132.053,4
spotify:track:4fQFJ665o0c4trTqDSiThT,"너의 의미","산울림 제10집 - 너의 의미","산울림",1984-07-20,221573,42,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.65,0.313,7,-10.878,1,0.0271,0.348,0.0444,0.135,0.461,79.233,4
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:39mx4bDRvPRqjryLpPQsNH,"우리는","골든 제 3집","송창식",2025-05-11,257802,21,false,,1970-01-01T00:00:00Z,"K-발라드","KINIMUSIC",0.457,0.44,8,-7.713,1,0.0254,0.613,0.000137,0.344,0.312,85.456,4
spotify:track:1iLrVrzeFFc0HutJgK5OXe,"I Hate It If You Don't Come","Lee Eun Ha's Hit Song Collection (I Hate It If You Don't Come)","Lee Eun Ha",1977-01-05,188568,21,false,,1970-01-01T00:00:00Z,"중국 록","Jigu Records",0.453,0.439,4,-11.771,0,0.0288,0.221,0.000112,0.351,0.619,77.788,4
spotify:track:0U0HNu4M27Payy9um4MOlJ,"마음","마음","이수만",2012-08-06,184006,3,false,,1970-01-01T00:00:00Z,"","RIAK",0.49,0.503,10,-7.623,0,0.0365,0.697,0.00359,0.104,0.138,117.436,4
spotify:track:0FIgjsljigrtOrQL6MRriN,"누구라도 그러하듯이","누구라도 그러하듯이","배인숙",1979-05-10,211546,27,false,,1970-01-01T00:00:00Z,"","RIAK",0.397,0.391,8,-10.463,0,0.0275,0.433,0,0.113,0.279,105.912,4
spotify:track:2R49jFMrgIKV2ASFjJvnm3,"회상","산울림 제8집 - 새야 날아","산울림",1982-05-25,199133,39,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.648,0.438,2,-9.187,1,0.0299,0.671,0.000116,0.316,0.523,139.209,4
spotify:track:4ZoEpOqq9HvF4UKL2bQek4,"작은 새","편지 / 작은새","어니언스",1989-01-01,249493,26,false,,1970-01-01T00:00:00Z,"K-발라드","로엔엔터테인먼트",0.22,0.142,9,-19.533,0,0.0317,0.849,0.00000912,0.0731,0.0398,77.664,4
spotify:track:5y9V97x0XJVWNknk9XRnoN,"아름다운 사람","현경과 영애 1집","Hyunkyung And Youngae",1974-01-01,198346,20,false,,1970-01-01T00:00:00Z,"","RIAK",0.29,0.263,0,-13.001,1,0.0352,0.884,0.0000813,0.108,0.124,139.036,4
spotify:track:3lrrcUUn7eua6TtE7CxGMU,"젊은 태양","77, `78 제 1, 2회 대학가요제","박광주;최혜경",1978-11-01,250346,12,false,,1970-01-01T00:00:00Z,"","RIAK",0.269,0.508,1,-10.379,1,0.0315,0.683,0.827,0.0848,0.439,71.711,4
spotify:track:0s1F5YZzSHN0ItT6MSUIuX,"봄이 오는길","BEST 20","Park In Hui",1977-03-01,148325,14,false,,1970-01-01T00:00:00Z,"전통 포크","오아시스레코드 뮤직컴퍼니",0.646,0.312,9,-15.23,0,0.0386,0.868,0.731,0.228,0.714,115.643,4
spotify:track:5Qw2rKru2hcHynzvORPRuG,"당신은 몰라","사랑의 상처 / 아름다운 인형","He6",1972-01-01,210840,12,false,,1970-01-01T00:00:00Z,"한국 록,전통 포크,사이키델릭 록","오아시스레코드 뮤직컴퍼니",0.42,0.453,4,-8.843,0,0.0252,0.404,0.234,0.222,0.4,84.126,4
spotify:track:1l89Esm79YNAnF2Rq3Nn5s,"청춘","산울림 제7집 - 가지 마오","산울림",1981-08-01,211266,37,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.656,0.28,9,-13.745,0,0.0319,0.766,0.000158,0.12,0.718,113.269,3
spotify:track:1kPHaUWQIFebAHGMiOXkkN,"Night of candel lights","Night of candel lights","Yang Hayoung;양하영",1988-06-29,248163,16,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.647,0.4,6,-11.564,0,0.0304,0.801,0.197,0.0817,0.173,119.53,4
spotify:track:5nSBcnvB8fbgu0xJLPYdkl,"내마음의 보석상자","사랑은 언제나 그자리에","해바라기",1986-04-15,245880,33,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.406,0.449,11,-8.361,0,0.0276,0.879,0.257,0.101,0.399,85.615,4
spotify:track:2RBBiAyjzyFFq3nhFLHNwT,"사랑하는 이에게","정태춘ㆍ박은옥 Best","정태춘,박은옥",2014-06-18,256092,19,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.416,0.254,7,-13.008,1,0.0288,0.939,0.727,0.279,0.113,70.839,3
spotify:track:7knMORrbHwFziap4TtWyaz,"그리워라","현경과 영애 1집","Hyunkyung And Youngae",1974-01-01,169960,15,false,,1970-01-01T00:00:00Z,"","RIAK",0.339,0.324,2,-9.513,1,0.0361,0.823,0,0.144,0.539,200.89,3
spotify:track:75dXGgdawEKQ2WoQqqfEHI,"춤을 추어요","춤을 추어요, 못잊어","장은숙",1978-03-20,186984,11,false,,1970-01-01T00:00:00Z,"엔카,가요쿄쿠","신세계음향",0.41,0.59,0,-11.113,1,0.0377,0.893,0.0218,0.126,0.601,135.846,4
spotify:track:1RkQ4peb57QNEwQRDLtAm1,"파도","이영식/이수만","이수만",2012-08-16,210259,2,false,,1970-01-01T00:00:00Z,"","RIAK",0.431,0.376,2,-7.843,0,0.0273,0.241,0.000881,0.233,0.401,79.19,4
spotify:track:0HPE03S4AyTlvq3jFbDsk6,"촛불","시인의 마을","Jeong Tae chun",1978-11-05,239386,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.454,0.367,11,-9.293,1,0.0267,0.723,0.000014,0.11,0.141,142.969,4
spotify:track:6YzqpLmnVxl9VOFKC498e0,"그리운건 너","데블스(DEVILS)(그리운건 너/사랑한다면/태양을 향하여)","Devils",1974-01-01,188586,12,false,,1970-01-01T00:00:00Z,"한국 록","RIAK",0.487,0.203,4,-15.538,0,0.0335,0.643,0.0865,0.137,0.371,133.945,4
spotify:track:0FTzOHiBRMfmRxcKFwNYLx,"사랑의 진실","편지 / 작은새","어니언스",1989-01-01,156373,21,false,,1970-01-01T00:00:00Z,"K-발라드","로엔엔터테인먼트",0.345,0.261,0,-15.637,1,0.0354,0.718,0,0.169,0.251,135.637,4
spotify:track:7LjG6CGvK9l5Knnj1Ew4BV,"어서 말을해","그날 이후","해바라기",1985-01-15,189306,24,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.422,0.412,11,-9.13,0,0.0283,0.769,0.845,0.091,0.491,147.619,4
spotify:track:0FkjYjI14WLAQxibAkIAQm,"장미꽃 향기는 바람에 날리고","New Age 2","이수만",1989-01-10,220133,1,false,,1970-01-01T00:00:00Z,"","RIAK",0.6,0.267,2,-15.433,1,0.0295,0.325,0.000697,0.454,0.379,125.479,4
