Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0mka2hkr9mDMu80eJbCN5P,"내가 바라는 세상 - Instrumental","내가 바라는 세상","이주노",2025-02-26,243287,0,false,,1970-01-01T00:00:00Z,"","JFC 컴퍼니",0.571,0.186,10,-11.155,1,0.0399,0.927,0.911,0.173,0.188,145.862,4
spotify:track:58TnpA8mBJV2REJ3xY6el5,"우리는","Deuxism","듀스",1993-12-30,216372,28,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Beyond Music",0.78,0.809,11,-11.065,0,0.0454,0.0315,0.00000401,0.0564,0.694,115.946,4
spotify:track:6HW5rmg4NtHTWQExmbh9Wa,"Friday Night","Chapter 2","god",1999-11-25,215066,38,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.872,0.751,1,-4.234,1,0.0582,0.0156,0.0000129,0.0442,0.632,110.032,4
spotify:track:2Nfff0eYCYquXsjmNm8Hc7,"돌아와","Funky Together","Clon",1999-03-01,249893,27,false,,1970-01-01T00:00:00Z,"","Media Line",0.721,0.96,5,-4.468,0,0.0338,0.0888,0.00464,0.111,0.829,137.807,4
spotify:track:4pGRP5Bf7aeLmHhc4PAFdO,"폭풍/You Got The Funk","D.O Funk","이현도",1998-11-27,239098,20,false,,1970-01-01T00:00:00Z,"한국 랩","RIAK",0.845,0.89,1,-3.486,0,0.0396,0.0991,0.000824,0.034,0.928,112.035,4
spotify:track:41PgRpm39s1h3MtuREOqUf,"나만의 친구 (Hip Hop)","솔리드(Solid) 2집(The Magic Of 8 Ball)","솔리드",1995-03-01,191788,25,false,,1970-01-01T00:00:00Z,"K-발라드","MUSICDESIGN",0.736,0.892,0,-5.39,1,0.0766,0.0727,0.00000187,0.133,0.868,118.109,4
spotify:track:2g0ZIGBR0gur3LMOiGBNfD,"애송이 (CF - 써니텐)","Lexury","Lexy",2003-10-07,231493,30,false,,1970-01-01T00:00:00Z,"","YG Entertainment",0.887,0.678,7,-3.77,0,0.0328,0.0371,0.00000626,0.237,0.962,109.008,4
spotify:track:068bOiQGiSATNe2kWMZKin,"나를 돌아봐","Deux","듀스",1993-04-23,227933,34,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Beyond Music",0.856,0.657,11,-12.89,0,0.0597,0.0428,0.000035,0.151,0.962,116.407,4
spotify:track:0CoaHxyWDYMZDOPtbcmNsC,"다시 만나 줘","업타운(Uptown) 1집(Represent)","업타운",1997-01-14,229866,26,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙,K-발라드","RIAK",0.812,0.731,6,-10.067,0,0.0636,0.126,0,0.349,0.841,109.053,4
spotify:track:7hwZLp56aL0kQ08r2zLCEP,"Jeal Ousy","6 Mill Bionic Jono","이주노",2000-03-18,181681,0,false,,1970-01-01T00:00:00Z,"","오감엔터테인먼트",0.643,0.508,11,-13.096,0,0.0285,0.567,0.000111,0.112,0.356,131.99,4
