Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3YPMWUr0RbscS8iPECSJ66,"친구여","A TO Z","인순이",2004-09-09,261105,37,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.74,0.842,7,-3.543,1,0.0916,0.124,0,0.106,0.709,127.042,4
spotify:track:6IP4liw7yNjzV9ulz0SoQr,"Bengawan Solo","我的心","潘迪華",1963-01-01,173666,38,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.558,0.128,3,-16.054,1,0.0358,0.986,0.0203,0.103,0.506,106.468,4
spotify:track:0CMJgztOD8j0npY61spei4,"I Will Leave Even If Is Sad","Pearl Sisters Hit Complete Collection","Pearl Sisters",1991-01-01,160449,35,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.483,0.362,11,-11.131,0,0.0415,0.632,0.0000165,0.111,0.397,113.263,4
spotify:track:316NM1Qtw8MjYY6Bpodfzy,"돌이킬 수 없는 걸음","장화홍련, 메모리즈 (Original Motion Picture Soundtrack)","Byeong Woo Lee",2004-07-21,73992,35,false,,1970-01-01T00:00:00Z,"","musikdorf",0.228,0.376,6,-10.472,0,0.0444,0.559,0.95,0.386,0.149,167.786,3
spotify:track:5vVL45nncczKCWS0uIQpzN,"깊은 밤을 날아서","이문세 4집","이문세",1987-03-10,182866,53,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.647,0.685,0,-9.831,1,0.0406,0.637,0.000145,0.11,0.529,123.208,3
spotify:track:1zGnuABdQiSQ6oh4ejLXFg,"怨み節 - ""東映映画「さそり」シリーズ""より","梶芽衣子のはじき詩集(うた)","Meiko Kaji",1973-06-01,216213,43,false,,1970-01-01T00:00:00Z,"엔카,가요쿄쿠,시티 팝","TEICHIKU RECORDS",0.443,0.313,0,-7.282,0,0.0326,0.63,0.0000219,0.146,0.613,126.649,3
spotify:track:0IT896QtjxtbxpgIiRBRKW,"Redpepper Dragonfly","Cho Yongpil 3","조용필",1981-07-01,288809,52,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.397,0.329,4,-12.652,0,0.0318,0.817,0.00032,0.13,0.31,113.964,4
spotify:track:0OxRmpJnl1hV1jHVH3V4me,"샴푸의 요정","빛과 소금","빛과 소금",1990-03-01,227306,42,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.752,0.545,2,-10.198,0,0.0244,0.221,0.0000492,0.0395,0.75,110.984,4
spotify:track:1wgMndJciUqANNX5j4ScsK,"I Wish You Love","The Magic Mood Of Ronnie Aldrich","Ronnie Aldrich and his 2 pianos;London Festival Orchestra",1965-01-01,193173,44,false,,1970-01-01T00:00:00Z,"오케스트라,이지 리스닝,클래식","Decca Music Group Ltd.",0.484,0.145,8,-19.184,0,0.0296,0.784,0.846,0.283,0.264,106.143,4
spotify:track:6aciykjq4K2WXiBrv0Fybp,"에필로그","장화홍련, 메모리즈 (Original Motion Picture Soundtrack)","Byeong Woo Lee",2004-07-21,194678,37,false,,1970-01-01T00:00:00Z,"","musikdorf",0.238,0.227,6,-13.126,0,0.0364,0.877,0.835,0.124,0.104,165.898,3
spotify:track:47pEETprCzwQYEKovj5xyy,"연극이 끝난 후","MBC 대학가요제 골든베스트","샤프",1988-04-15,254426,37,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","RIAK",0.446,0.406,5,-14.047,1,0.0337,0.715,0.00000137,0.119,0.708,91.925,4
spotify:track:0lVJIHTB13L9HgvmyghcPV,"슈케이저","4/4 Sentimental Painkiller - 겨울은 봄의 심장","미스티 블루",2010-03-17,213626,38,false,,1970-01-01T00:00:00Z,"시부야계","Pastel Music",0.651,0.488,9,-8.17,1,0.0307,0.0657,0.692,0.0684,0.636,103.983,4
