Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7KgbzI8g0lq4wVLsD9o4y3,"화개장터","SPECIAL 세월속에서 건져올린 조영남의 오리지널","조영남",1996-01-01,203180,23,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.778,0.537,0,-11.278,1,0.0323,0.393,0.000479,0.1,0.75,109.998,4
spotify:track:0IWH5Yixjj9uatlad0WXXN,"I Want To Know","Lee Sunhee 2.","이선희",1986-11-01,211951,29,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.527,0.194,5,-15.361,0,0.0329,0.769,0.000175,0.103,0.23,79.651,4
spotify:track:39mx4bDRvPRqjryLpPQsNH,"우리는","골든 제 3집","송창식",2025-05-11,257802,21,false,,1970-01-01T00:00:00Z,"K-발라드","KINIMUSIC",0.457,0.44,8,-7.713,1,0.0254,0.613,0.000137,0.344,0.312,85.456,4
spotify:track:40zEkxUOv9i0OQl2paOeHQ,"이젠 사랑할 수 있어요","그날 이후","해바라기",1985-01-15,281493,27,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.367,0.374,11,-8.485,0,0.0273,0.881,0.62,0.0948,0.149,72.374,4
spotify:track:5NPLUq3lA0WiaTCaF8ltXW,"가을을 남기고간 사랑","가을을 남기고간 사랑/한줄기 사랑","패티김",1990-05-01,182800,28,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.412,0.293,8,-12.631,1,0.03,0.48,0.000849,0.0827,0.311,142.088,4
spotify:track:6EP47p8vFMGVc3sM4QgUqb,"그대 그리고 나","조영남 빅 콘서트","조영남",2001-11-03,253219,17,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.328,0.379,2,-8.923,1,0.0278,0.709,0.00000425,0.645,0.187,147.022,4
spotify:track:4EI3o8ZxBZITf1Y12tcVEI,"Child Of The Winter","Lee Jongyong","Lee Jongyong",1990-01-01,262246,29,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.342,0.246,10,-13.138,1,0.0297,0.826,0.000241,0.112,0.199,87.639,4
spotify:track:2VLTuaKBqWRjlxgF7o6c6N,"To J","Lee Sunhee 1.","이선희",1985-10-01,223283,35,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.424,0.28,0,-10.069,1,0.0292,0.71,0.0000134,0.0984,0.398,167.128,4
spotify:track:2RBBiAyjzyFFq3nhFLHNwT,"사랑하는 이에게","정태춘ㆍ박은옥 Best","정태춘,박은옥",2014-06-18,256092,19,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.416,0.254,7,-13.008,1,0.0288,0.939,0.727,0.279,0.113,70.839,3
spotify:track:3aWQr7nfSmLBaUg7wkJ6Fr,"사랑은 언제나 그자리에","사랑은 언제나 그자리에","해바라기",1986-04-15,336866,27,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.341,0.492,4,-5.702,1,0.0306,0.449,0.0391,0.16,0.222,133.138,4
spotify:track:6oLmwDME5SogL1069DqO4r,"지금","SPECIAL 세월속에서 건져올린 조영남의 오리지널","조영남",1996-01-01,234605,20,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.476,0.317,1,-11.378,1,0.0282,0.625,0.000999,0.0938,0.14,155.85,4
spotify:track:3nLPURG2fUo04GLgoqSDUR,"목로주점","포크송 15년 결산 골든, Vol. 1 - 고운노래 모음집","이연실",1989-11-01,163906,15,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.665,0.382,2,-13.199,1,0.0438,0.695,0,0.284,0.796,82.294,4
spotify:track:0HPE03S4AyTlvq3jFbDsk6,"촛불","시인의 마을","Jeong Tae chun",1978-11-05,239386,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.454,0.367,11,-9.293,1,0.0267,0.723,0.000014,0.11,0.141,142.969,4
spotify:track:4ZoEpOqq9HvF4UKL2bQek4,"작은 새","편지 / 작은새","어니언스",1989-01-01,249493,26,false,,1970-01-01T00:00:00Z,"K-발라드","로엔엔터테인먼트",0.22,0.142,9,-19.533,0,0.0317,0.849,0.00000912,0.0731,0.0398,77.664,4
spotify:track:5MlZSCMDY99oI7fzxmvPYO,"하얀 나비","하얀 나비 / 인생","김정호",1983-03-10,224880,30,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.485,0.319,9,-16.438,1,0.0333,0.101,0.00741,0.129,0.302,110.784,4
spotify:track:6opQkIg191ECnYy0N0xYrC,"모란동백","조영남 빅 콘서트","조영남",2001-11-03,284539,18,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.453,0.123,0,-17.272,1,0.0289,0.787,0.000854,0.087,0.183,74.96,4
spotify:track:5nSBcnvB8fbgu0xJLPYdkl,"내마음의 보석상자","사랑은 언제나 그자리에","해바라기",1986-04-15,245880,33,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.406,0.449,11,-8.361,0,0.0276,0.879,0.257,0.101,0.399,85.615,4
spotify:track:1ZEWbgub8FJ1mmYMzB89IA,"그저 바라볼 수만 있어도","베스트 [Best] (Best)","유익종",1992-06-23,227533,27,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.534,0.172,2,-17.137,1,0.0288,0.673,0.0209,0.1,0.115,76.413,4
spotify:track:5leprDGyWe99TAqzKP3C9G,"피리부는 사나이","골든 포크 (Best)","송창식",1989-08-01,169560,20,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.593,0.19,4,-16.169,0,0.0323,0.504,0.000144,0.0578,0.615,127.684,4
spotify:track:1Mee2wbHdqOKkbGjGstHJg,"안개속으로 가버린 사랑","불멸의 가수 배호 슈퍼골든 Vol.1 (배호의 마지막 노래)","배호",2010-08-18,215304,17,false,,1970-01-01T00:00:00Z,"","정호상사",0.354,0.179,3,-19.094,0,0.0326,0.884,0.854,0.17,0.16,109.595,3
spotify:track:2BmsULuJbIsCCmRTBaFJFX,"이별","패티김앵콜힛트송1","패티김",1986-01-30,202266,22,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.327,0.0921,10,-22.664,1,0.0338,0.962,0.296,0.0955,0.226,82.499,4
spotify:track:0JtAVn6lA7g0WNBPeStnme,"딜라일라","조영남 빅 콘서트","조영남",2001-11-03,238381,11,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.443,0.905,10,-6.988,1,0.164,0.606,0,0.818,0.563,106.939,3
spotify:track:3u1C6nWVRoP5F0w8gGrDL3,"사랑의 미로","최진희 골든 Vol.15","Choi JinHee",1987-06-01,222380,25,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.367,0.194,7,-19.057,1,0.04,0.617,0.00000583,0.162,0.367,144.316,4
spotify:track:7DmIz5wVLpQUAMcz7mdfii,"사랑하는 마음","사랑하는 마음","김세환",1974-11-20,154093,20,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.674,0.733,3,-7.568,1,0.0306,0.547,0.00298,0.153,0.678,125.332,4
spotify:track:2QId7fbNouw0NOGSaTUC2s,"이별노래","이동원 골든 이별노래","이동원",1984-11-20,259239,19,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.255,0.203,2,-18.919,0,0.0336,0.611,0.00132,0.337,0.145,148.746,4
spotify:track:1Fxbk6KIGC2ymJQrbuCvms,"님 그림자","노사연 - 님 그림자","노사연",1983-03-20,212200,18,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.491,0.354,11,-7.92,1,0.0294,0.702,0,0.159,0.61,120.798,4
spotify:track:2HkWZu2uAsTOSvskWHhBcP,"가을비 우산속","골든 베스트","최헌",1988-01-01,228892,25,false,,1970-01-01T00:00:00Z,"","RIAK",0.541,0.158,8,-20.918,1,0.0284,0.617,0.00356,0.137,0.38,80.987,4
spotify:track:3kNB3iM62rF5rhXUhTlmUC,"At The River Bukhangang","Selections 1","정태춘;Park Eun Ohk",1987-11-30,243333,25,false,,1970-01-01T00:00:00Z,"전통 포크,K-발라드","Universal Music Ltd.",0.51,0.225,9,-16.822,0,0.0313,0.939,0.0000435,0.0942,0.126,142.425,4
spotify:track:3HaI4ogu2cT7zUOGEjkwVF,"내 사랑 내곁에","김현식 Vol.6","김현식",1991-01-26,267333,43,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.489,0.252,7,-17.965,1,0.031,0.191,0.0000258,0.206,0.382,124.312,4
spotify:track:1qETY7JtJI9Vom6fdwV4fT,"사랑의 눈동자","베스트 [Best] (Best)","유익종",1992-06-23,246133,20,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.627,0.244,2,-17.588,1,0.0294,0.118,0.00148,0.162,0.367,78.455,4
spotify:track:5uDSwwigyV89r31PYiZABK,"사랑으로","클래식 해바라기 (For the Peace)","해바라기",2001-11-04,308800,28,false,,1970-01-01T00:00:00Z,"K-발라드","해바라기기획",0.114,0.355,4,-8.285,1,0.0309,0.966,0.0000239,0.0545,0.085,82.832,4
spotify:track:4z3caihObhWOAyuz0VIIIA,"봄비","Golden Best","이은하",1994-01-01,170133,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.432,0.415,7,-6.268,0,0.0276,0.86,0.000055,0.134,0.137,77.229,4
spotify:track:2VBQqRRGd7tDSTaR49vLPX,"홍시","나훈아 - 40주년 기념 특별 기획음반","나훈아",2018-02-05,262133,30,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.625,0.631,4,-5.263,1,0.0482,0.288,0.000057,0.0981,0.298,86.976,4
spotify:track:1Gts7qEowmAzB7vax045Rb,"돌아가는 삼각지","불멸의 가수 배호 슈퍼골든 Vol.1 (배호의 마지막 노래)","배호",2010-08-18,172176,20,false,,1970-01-01T00:00:00Z,"","정호상사",0.324,0.292,5,-14.146,1,0.0321,0.84,0.00878,0.11,0.214,124.751,4
spotify:track:5RIeQnSoT08plYDRXBfXD0,"시인의 마을","시인의 마을","Jeong Tae chun",1978-11-05,247849,27,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.329,0.471,10,-7.434,1,0.0433,0.664,0,0.152,0.347,166.828,4
spotify:track:5kKGt6wI6Nt3x2wvVeYAMg,"이름 모를 소녀","이름모를 소녀 / 사랑의 진실","김정호",1983-02-25,242773,26,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.3,0.174,6,-14.785,0,0.0323,0.569,0,0.17,0.107,69.255,4
spotify:track:5RCAvN1JcJUSqLnk19YRby,"마음 깊은곳에 그대로를","그날 이후","해바라기",1985-01-15,267200,18,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.296,0.294,4,-9.762,1,0.0266,0.887,0.738,0.108,0.125,92.335,4
spotify:track:6t20YMDkjlSsLPCycfwiD3,"당신도 울고 있네요","김종찬2집","김종찬",1987-10-30,249286,22,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.21,0.336,9,-12.739,1,0.0346,0.259,0.0000424,0.066,0.134,72.609,4
spotify:track:6dGaNwluxq2QLUDTrfUUlE,"내 삶을 눈물로 채워도","나훈아 빅히트 40곡 (나훈아 전곡 모음집)","나훈아",2018-02-05,250466,31,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.394,0.472,8,-7.11,1,0.0324,0.307,0.0000238,0.175,0.232,148.027,4
spotify:track:7DbiS8wi61KTKCvUZnQXGa,"바람바람바람","바람 바람 바람 / 별빛 속의 님","김범룡",1985-03-10,198661,30,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","RIAK",0.734,0.393,6,-13.052,1,0.0427,0.137,0.00000206,0.0962,0.782,99.864,4
spotify:track:4JDFvB76jQmX9pjZwq9GK4,"사랑 그 아름답고 소중한 얘기들","사랑이야기","BAE CHUL SOO",1985-10-15,215000,23,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","RIAK",0.578,0.474,0,-14.669,1,0.0288,0.0756,0.209,0.215,0.648,111.54,4
spotify:track:5vmiuO36uxvBGuRk4iXcfK,"희나리","문을열어/당신이 미워지면","구창모",1985-06-10,246733,29,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.464,0.294,3,-13.158,0,0.0296,0.664,0,0.0935,0.196,76.77,4
spotify:track:7AR2xon4Ri5vlbqtEKGZV6,"모두가 사랑이예요","그날 이후","해바라기",1985-01-15,180800,27,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.317,0.343,4,-8.492,0,0.0283,0.965,0.344,0.108,0.463,85.744,4
