Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2OuZhMTGfQQ86fCD1JEMls,"나","Ha Soo Bin II","하수빈",1993-09-01,246306,15,false,,1970-01-01T00:00:00Z,"시티 팝","수도미디어",0.744,0.732,3,-11.868,1,0.0347,0.451,0.0000821,0.0499,0.787,119.047,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:6kL0CcL4rx6VUt6m2zP0tM,"습관 (Bye Bye)","Roller Coaster","Rollercoaster",1999-07-01,259346,40,false,,1970-01-01T00:00:00Z,"시부야계,애시드 재즈,한국 록","Cornerstone",0.795,0.518,6,-10.28,1,0.029,0.0325,0.0000102,0.0532,0.785,122.996,4
spotify:track:4pfaoWL13Z99vTR9Le45eY,"Meaning of You","Yang Soo Kyung II","양수경",1990-11-01,263895,36,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","2003 Diomede",0.734,0.498,1,-12.437,1,0.0384,0.563,0.000714,0.0241,0.598,91.912,4
spotify:track:1qPS1hGoZP3zec4CIKvQuA,"가까이 하고싶은 그대","I Want to Be Closer to You","NAMI",1992-01-01,215269,34,false,,1970-01-01T00:00:00Z,"시티 팝","오아시스레코드 뮤직컴퍼니",0.722,0.625,9,-5.461,1,0.0241,0.337,0.0000891,0.128,0.522,98.018,4
spotify:track:5rItRiwKgQgkNz4n624lNQ,"더 이상 내게 아픔을 남기지마","Lisa In Love","하수빈",1992-06-01,215200,8,false,,1970-01-01T00:00:00Z,"시티 팝","수도미디어",0.523,0.387,4,-15.166,1,0.0351,0.475,0.00000637,0.138,0.24,135.933,4
spotify:track:1lmzjWYz6Nxa18wkeqCFUs,"I Am Alone You Are Yearning","Park Youngmee 1.","Park Yeong Mi",1990-01-01,246270,21,false,,1970-01-01T00:00:00Z,"시티 팝","Jigu Records",0.69,0.586,3,-9.136,1,0.0397,0.558,0.0026,0.0744,0.233,114.849,4
spotify:track:3Rtl3hU47q3TorqSI2ZwnH,"보랏빛향기","강수지 1집","강수지",1990-04-01,208431,38,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","신세계음향",0.79,0.558,6,-10.762,1,0.0443,0.213,0.0536,0.109,0.852,125.224,4
spotify:track:2tlLzYnwgfbFGZ63F0KYWz,"삐에로는 우릴 보고 웃지","삐에로는 우릴 보고 웃지","김완선",1990-12-01,206710,32,false,,1970-01-01T00:00:00Z,"시티 팝","케이더블유썬플라워엔터테인먼트",0.633,0.588,6,-12.066,0,0.039,0.524,0,0.312,0.909,206.037,4
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:2AkbJyLPijPkNaP9q7tECM,"너에게 보내는 노래","일상다반사(日常茶飯事)","Rollercoaster",2000-08-01,267093,30,false,,1970-01-01T00:00:00Z,"시부야계,애시드 재즈,한국 록","Cornerstone",0.711,0.67,2,-4.969,0,0.0273,0.0574,0,0.22,0.616,101.992,4
spotify:track:7EdoNhd5pds9mmHI8yeHZ4,"노노노노노","Lisa In Love","하수빈",1992-06-01,246133,17,false,,1970-01-01T00:00:00Z,"시티 팝","수도미디어",0.661,0.667,4,-11.306,1,0.0346,0.342,0.000277,0.339,0.529,135.038,4
spotify:track:6Q3qUZHT9NUG60PchOZ4bI,"넌 언제나","넌 언제나","모노",1993-10-01,239853,35,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","morning",0.563,0.81,8,-6.234,1,0.0389,0.207,0.0000324,0.306,0.487,116.268,4
spotify:track:3aBkJjXgWGdvSEXNpVb11A,"시간속의향기","강수지2집","강수지",1990-05-01,223973,35,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.811,0.602,11,-10.665,0,0.0329,0.605,0.00000102,0.078,0.928,122.225,4
spotify:track:0SAgZ4I7m2LjM1znA1D6ox,"입영열차안에서","사랑일뿐야","Kim Minwoo",1990-02-10,232881,37,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.395,0.608,0,-11.693,0,0.036,0.409,0.0000969,0.0837,0.681,170.128,4
spotify:track:4AfuS3hTBd6ptS72KJummz,"One and a Half","Two Two One and a Half","TwoTwo;투투(Two Two)",1994-05-01,235826,42,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.76,0.73,6,-8.394,1,0.0251,0.249,0,0.0644,0.963,100.932,4
spotify:track:73HLj8nLVJZ0vqShX5Q1TR,"Last Scene","Absolute","Rollercoaster",2002-03-22,273813,33,false,,1970-01-01T00:00:00Z,"시부야계,애시드 재즈,한국 록","Cornerstone",0.766,0.832,10,-8.301,1,0.0402,0.533,0.0036,0.137,0.979,125.009,4
spotify:track:47mdByHmgWGDKOyKrVKp73,"이브의 경고","Jungle New Style","박미경",1995-07-22,252493,39,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.663,0.978,0,-2.623,1,0.0352,0.0601,0.00456,0.0784,0.62,136.374,4
spotify:track:3f7zwF8sqQAJTLe0nqxrar,"도심속의 인형","원미연 3집","Won Mi Yeon",1992-12-01,203266,18,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","won entertainment",0.709,0.678,2,-11.923,0,0.0524,0.158,0.0000103,0.24,0.505,121.942,4
spotify:track:0QeZsX40wCUzebIJ4zzHoG,"어느새","장필순 1집 (어느새 / 내 작은 가슴속에)","장필순",1989-11-25,291666,31,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.629,0.54,7,-14.474,1,0.0304,0.25,0.0556,0.0934,0.663,91.936,4
spotify:track:5yDAKMtlNXcZXU9QiLqkon,"있는 그대로","있는 그대로/난 사랑을 하고 싶었어","Kim Hye Rim",1993-01-01,226821,22,false,,1970-01-01T00:00:00Z,"시티 팝","RIAK",0.728,0.864,4,-8.763,1,0.0432,0.0961,0.00000223,0.119,0.668,125.959,4
spotify:track:3VuQoOFwJdcQ5IOamXlWZa,"커플","Special","젝스키스",1998-10-03,250066,46,false,,1970-01-01T00:00:00Z,"케이팝,K-발라드","DSP media",0.793,0.88,7,-2.712,1,0.0319,0.0554,0.0000367,0.497,0.891,110.025,4
