Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:01hCKIX2uoUdIOOeamBZmo,"네 번의 여름","Harmony","카더가든",2023-09-12,181417,39,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:06:15Z,"K-발라드","DOOROODOOROO ARTIST COMPANY",0.46,0.35,2,-10.006,1,0.0295,0.739,0.00197,0.102,0.122,164.167,4
spotify:track:5BGxDtIEw8zxoP29Fid69a,"Ling Ling","TEEN TROUBLES","검정치마",2022-09-15,229999,56,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:06:22Z,"한국 록","DOGGYRICH FOREVER, BESPOK",0.53,0.659,7,-4.903,1,0.0253,0.0311,0,0.101,0.542,79.999,4
spotify:track:7bpGwwCEJSWYOee39OpwBC,"ringringring","XYRUP","SURL",2024-10-27,227000,28,false,31lkjrvpckug4gy5ootm27gkuida,2025-05-10T06:44:41Z,"한국 록,일본 인디","MPMG MUSIC",0.632,0.829,8,-4.699,1,0.0598,0.0182,0.000029,0.0999,0.715,97.008,4
spotify:track:3LwcrhfpSIoKYqT4c6CcC5,"DETOX","XYRUP","SURL",2024-10-27,254000,31,false,31lkjrvpckug4gy5ootm27gkuida,2025-09-13T06:55:13Z,"한국 록,일본 인디","MPMG MUSIC",0.484,0.885,8,-1.337,1,0.08,0.0154,0.0029,0.368,0.63,92.078,4
spotify:track:0SHmzw1nd4V94W5qyuaf7O,"세상:소음","세상:소음","Redoor",2024-08-22,367653,35,false,31lkjrvpckug4gy5ootm27gkuida,2025-08-24T06:26:12Z,"K-발라드,한국 록","Genie Music Corporation, Stone Music Entertainment",0.383,0.952,2,-3.733,1,0.0908,0.000333,0.0242,0.194,0.282,124.975,4
spotify:track:6cgzjurEUbtMUiqzABL7XG,"Foolish World","Harmony","카더가든",2023-09-12,236971,21,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:06:40Z,"K-발라드","DOOROODOOROO ARTIST COMPANY",0.626,0.443,10,-7.002,0,0.0306,0.549,0,0.181,0.267,78.013,4
spotify:track:3Za3hxz2Hw4M9f0sFc1FuY,"내일의 우리","Harmony","카더가든",2023-09-12,240000,43,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:08:56Z,"K-발라드","DOOROODOOROO ARTIST COMPANY",0.665,0.395,4,-7.231,1,0.0277,0.584,0,0.0912,0.189,108.088,3
spotify:track:1UPrsN1KqffOawr0n5Opsh,"내겐 그 아무도 없을 거야","Harmony","카더가든",2023-09-12,205227,25,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:09:25Z,"K-발라드","DOOROODOOROO ARTIST COMPANY",0.447,0.642,11,-9.165,0,0.0404,0.123,0.00113,0.119,0.389,109.905,4
spotify:track:0o29ZYfMkduYssRlefeb8s,"아름다운 것","가장 보통의 존재","언니네 이발관",2008-08-08,291253,39,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:09:44Z,"한국 록","blue boy",0.672,0.418,9,-8.892,1,0.0295,0.599,0.000545,0.0849,0.69,106.043,4
spotify:track:20tWEsVsKU6FfzXGt4IOuV,"고백","Espresso","DELISPICE",2003-01-24,323531,55,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:11:35Z,"K-발라드,한국 록","오감엔터테인먼트",0.473,0.644,6,-4.447,1,0.027,0.0588,0,0.0942,0.24,79.617,4
spotify:track:2L1d8klSiq0dhndAszGWuO,"챠우챠우-아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려","델리스파이스(Deli Spice) 1집(Deli Spice)","DELISPICE",1997-08-01,269514,49,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:11:39Z,"K-발라드,한국 록","MUSICDESIGN",0.464,0.765,6,-8.407,1,0.048,0.0111,0.0000141,0.205,0.235,114.841,4
spotify:track:3dRjgD726V3FTob1r2Mk3s,"날개","비선형","Mot",2004-06-18,207633,33,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:12:01Z,"한국 록","Motmusic",0.716,0.0768,9,-20.35,0,0.0462,0.958,0.275,0.101,0.206,77.929,4
spotify:track:5zQeIcTMut76k4cx6Sohy2,"잠","마지막 밤","나이트오프",2018-12-06,255760,0,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:12:25Z,"","럭키펀치 뮤직",0.488,0.442,10,-7.278,1,0.0318,0.246,0.622,0.108,0.369,121.948,4
spotify:track:0LSmb1eo894EJ7eIWPaAgQ,"기억을 걷는 시간","Separation Anxiety","넬",2008-03-21,312880,55,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:19:41Z,"한국 록,K-발라드","Genie Music Corporation",0.759,0.399,10,-6.024,1,0.0533,0.561,0,0.0818,0.671,88.998,4
spotify:track:1oW9H74WFBF0AsjP2e61YZ,"너에게 난, 나에게 넌","자전거 탄 풍경","자전거 탄 풍경",2001-10-05,222853,50,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:20:44Z,"K-발라드","자전거 탄 풍경",0.516,0.802,7,-2.869,1,0.0362,0.489,0.0198,0.546,0.583,147.909,4
spotify:track:5BqwC9kOBbqYkzdOKeXFFk,"주저하는 연인들을 위해","전설","잔나비",2019-03-13,265000,61,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:20:53Z,"K-발라드,한국 록","PEPONI MUSIC",0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4
spotify:track:4JmRth9mDEINhUNIpDYLQi,"뜨거운 여름밤은 가고 남은 건 볼품없지만","MONKEY HOTEL","잔나비",2016-08-04,243000,52,false,31lkjrvpckug4gy5ootm27gkuida,2024-05-27T06:21:01Z,"K-발라드,한국 록","PEPONI MUSIC",0.495,0.624,5,-4.03,0,0.0265,0.438,0.000424,0.292,0.327,79,4
