Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4EThz6DcZpIuQgYbOPijL8,"Kiss And Tell","201 (Special Edition)","검정치마",2010-03-18,278546,33,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:09:11Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.466,0.835,11,-4.949,1,0.0332,0.186,0.000583,0.148,0.324,99.167,4
spotify:track:3WvM2dIR9iIxMGNMP7WsNw,"사랑하게 될 거야","이상비행","HANRORO",2023-08-29,165000,68,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:09:28Z,"K-발라드,한국 록","authentic",0.625,0.516,7,-6.018,1,0.0265,0.426,0.0000015,0.187,0.326,92.94,4
spotify:track:0vz1q0l4IWeYPSpbsN8K4g,"잊었던 계절","나의 가역반응","신해경",2017-02-22,113506,14,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:09:32Z,"한국 록","YOUNG,GIFTED&WACK Records",0.55,0.306,3,-12.765,1,0.0343,0.814,0,0.261,0.363,103.951,4
spotify:track:49bu8WZAthRnScNwkT9tIC,"그 밤 그 밤","잔나비 소곡집 l","잔나비",2020-11-06,175000,44,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:09:40Z,"K-발라드,한국 록","PEPONI MUSIC",0.647,0.362,6,-9.948,1,0.0476,0.852,0.000269,0.0675,0.515,139.934,4
spotify:track:4aKWvufAudqaR3MMa8K9h8,"Avant Garde Kim","201 (Special Edition)","검정치마",2010-03-18,220306,31,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:09:48Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.552,0.952,10,-3.951,1,0.032,0.0001,0.000287,0.104,0.93,136.015,4
spotify:track:0o29ZYfMkduYssRlefeb8s,"아름다운 것","가장 보통의 존재","언니네 이발관",2008-08-08,291253,39,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:09:55Z,"한국 록","blue boy",0.672,0.418,9,-8.892,1,0.0295,0.599,0.000545,0.0849,0.69,106.043,4
spotify:track:6MPAgclYe1F9LSYXxOuoBC,"우리서로사랑하지는말자","영화같게","기리보이",2020-10-04,242999,51,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:10:11Z,"한국 랩","Linchpin Music Corp.",0.68,0.528,5,-6.444,1,0.0928,0.529,0,0.184,0.274,134.014,4
spotify:track:5ikqSCxv0XzfZWW5x0xI75,"연가","연가","정우",2020-05-22,168862,25,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:10:18Z,"K-발라드,한국 록","씨티알싸운드",0.452,0.0549,9,-16.635,1,0.0367,0.976,0.00000553,0.131,0.37,92.095,4
spotify:track:5H00gGjCqxeQnuDHE1QHM0,"상아","201 (Special Edition)","검정치마",2010-03-18,215240,32,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:10:27Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.638,0.904,9,-4.576,0,0.0335,0.00607,0.00000145,0.0564,0.869,112.014,4
spotify:track:5Fm5M3A8vbv6q4i7o0GT5u,"인생은 금물","가장 보통의 존재","언니네 이발관",2008-08-08,249000,33,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:10:33Z,"한국 록","blue boy",0.736,0.754,9,-6.383,1,0.0269,0.365,0.011,0.11,0.967,110.941,4
spotify:track:4edxSjjp5Vwatma6nVSqcq,"알리바이","가장 보통의 존재","언니네 이발관",2008-08-08,218386,25,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:10:48Z,"한국 록","blue boy",0.739,0.536,8,-9.501,0,0.0297,0.408,0,0.123,0.787,125.963,4
spotify:track:3fKpijLy39tectCOA8wg3F,"My Last Teen","My Last Teen","Summer Soul",2019-03-18,175200,27,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:10:57Z,"","Summer Soul",0.64,0.103,6,-12.58,0,0.0609,0.977,0.000553,0.121,0.234,100.008,4
spotify:track:5TmwssiMpaG0Fuy5MIFDnv,"나빗가루","꿈에서 걸려온 전화","김뜻돌",2020-09-27,164818,32,false,31et6a5zb4ibqr36xiphug4zl2pa,2024-10-16T06:11:26Z,"일본 인디,한국 록,시부야계","Meaningful Stone",0.387,0.139,11,-11.658,1,0.0373,0.938,0.0000571,0.111,0.118,108.27,4
