Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6DXhp5rA3anGOanMJF5Qlt,"불놀이야","Return To Rock","홍서범",2008-12-04,212036,6,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","도레미미디어",0.684,0.697,0,-5.988,1,0.0304,0.117,0.00233,0.319,0.719,104.046,4
spotify:track:75dXGgdawEKQ2WoQqqfEHI,"춤을 추어요","춤을 추어요, 못잊어","장은숙",1978-03-20,186984,11,false,,1970-01-01T00:00:00Z,"엔카,가요쿄쿠","신세계음향",0.41,0.59,0,-11.113,1,0.0377,0.893,0.0218,0.126,0.601,135.846,4
spotify:track:4JDFvB76jQmX9pjZwq9GK4,"사랑 그 아름답고 소중한 얘기들","사랑이야기","BAE CHUL SOO",1985-10-15,215000,23,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","RIAK",0.578,0.474,0,-14.669,1,0.0288,0.0756,0.209,0.215,0.648,111.54,4
spotify:track:2RBBiAyjzyFFq3nhFLHNwT,"사랑하는 이에게","정태춘ㆍ박은옥 Best","정태춘,박은옥",2014-06-18,256092,19,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.416,0.254,7,-13.008,1,0.0288,0.939,0.727,0.279,0.113,70.839,3
spotify:track:2r8CAuxyrGGPSpEBbV7Sqk,"I just walked","I just walked","임종환",1994-03-12,221800,22,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.635,0.619,5,-12.855,1,0.0834,0.0757,0.00000174,0.0288,0.69,185.767,4
spotify:track:2VBQqRRGd7tDSTaR49vLPX,"홍시","나훈아 - 40주년 기념 특별 기획음반","나훈아",2018-02-05,262133,30,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.625,0.631,4,-5.263,1,0.0482,0.288,0.000057,0.0981,0.298,86.976,4
spotify:track:6ZO5o5fUAnz8gklZGH6uuL,"그대 떠난 이밤에","Return To Rock","홍서범",2008-12-04,219925,5,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","도레미미디어",0.595,0.598,9,-6.91,1,0.0275,0.81,0.0000574,0.106,0.459,120.006,4
spotify:track:7ggTBgPvJcLHvqHnZbIT2w,"옛 친구에게","세가지 소원","여행스케치",1992-11-30,289410,30,false,,1970-01-01T00:00:00Z,"K-발라드","Kakao Entertainment",0.351,0.361,4,-10.597,1,0.0363,0.654,0.0000493,0.399,0.0997,175.525,4
spotify:track:72gYZnDBXLLHUdO5MmZBmE,"바람과 구름","제1회 동양방송국 주최 해변가요제","장남들",1978-08-31,264893,19,false,,1970-01-01T00:00:00Z,"한국 록","RIAK",0.337,0.571,10,-6.362,0,0.032,0.789,0.000176,0.094,0.291,131.564,4
spotify:track:3GoWwvs30VISedVCQErmli,"바보같은 미소","조갑경","조갑경",1989-10-01,239204,22,false,,1970-01-01T00:00:00Z,"K-발라드,가요쿄쿠","도레미미디어",0.456,0.277,7,-11.967,1,0.0292,0.39,0.00121,0.119,0.194,140.387,4
spotify:track:53iFKBJcbwBRzFaQu4xIpm,"내가 아는 한가지","Sad Wings Of Destiny","Lee Deok jin",1992-01-12,263493,24,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.497,0.397,4,-14.698,0,0.0304,0.141,0.0000481,0.0728,0.197,136.374,4
spotify:track:3as63aLEUK7SRF47Esjwq2,"사랑","나훈아 빅히트 40곡 (나훈아 전곡 모음집)","나훈아",2018-02-05,198266,27,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.497,0.441,7,-7.989,1,0.0278,0.69,0.0000147,0.126,0.3,109.149,3
spotify:track:3eWK6K8fXJaiBZYQDw5LCA,"그래","Return To Rock","홍서범",2008-12-04,238525,4,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","도레미미디어",0.506,0.629,11,-4.076,1,0.031,0.26,0.00001,0.171,0.43,138.13,4
spotify:track:6qSfMUM2cGbLYned2NTbni,"별이 진다네","여행스케치","여행스케치",1989-11-01,359601,29,false,,1970-01-01T00:00:00Z,"K-발라드","Kakao Entertainment",0.358,0.205,11,-16.278,1,0.0541,0.93,0.000179,0.191,0.304,116.855,4
spotify:track:4SRIo1OPQobMYo2KeWgGTR,"포플러 나무 아래","LEE YE RIN","Lee Ye Rin",1994-01-01,219933,19,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Kakao Entertainment",0.757,0.715,5,-9.694,1,0.0269,0.324,0.000342,0.0878,0.791,109.924,4
spotify:track:5KTM65DQafZQoRaJ6RoNsH,"종로에서","종로에서","오월",1993-10-15,262706,15,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","RIAK",0.437,0.405,4,-10.1,1,0.0321,0.554,0.00000617,0.328,0.148,143.785,4
spotify:track:2li2UmHyqteMRA5BEWzEDx,"바윗돌","대학가요제 Golden Best","Jung Oh-Cha",1997-12-01,184706,12,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.376,0.542,6,-6.611,1,0.0306,0.512,0.000914,0.0991,0.0726,129.089,4
